# timestamp tx ty tz qx qy qz qw
1305031453.423683 0.002595 0.006075 -0.017269 0.000262 0.011853 0.021633 0.999696
1305031453.459685 0.008225 0.011155 -0.026478 0.004372 0.017325 0.030127 0.999386
1305031453.491698 0.012756 0.016579 -0.037686 0.008995 0.023060 0.040968 0.998854
1305031453.523684 0.013132 0.025486 -0.050367 0.017253 0.027936 0.050464 0.998186
1305031453.559753 0.014142 0.029888 -0.064626 0.024022 0.030608 0.057052 0.997613
1305031453.591640 0.014659 0.038242 -0.080333 0.031963 0.032982 0.061566 0.997046
1305031453.627706 0.004804 0.043904 -0.095800 0.038609 0.036594 0.065616 0.996426
1305031453.659600 -0.009392 0.051739 -0.111787 0.046737 0.036455 0.062950 0.996255
1305031453.691678 -0.012283 0.060590 -0.126529 0.053585 0.030542 0.058217 0.996397
1305031453.727652 -0.021641 0.072350 -0.141821 0.059101 0.026173 0.053255 0.996487
1305031453.759694 -0.034031 0.077253 -0.153297 0.062983 0.019316 0.045595 0.996785
1305031453.791716 -0.041767 0.088172 -0.167070 0.068454 0.010095 0.037818 0.996886
1305031453.827773 -0.051875 0.095114 -0.178900 0.070917 0.003424 0.031329 0.996984
1305031453.859705 -0.072139 0.103527 -0.190793 0.073244 -0.005084 0.022883 0.997039
1305031453.891710 -0.090014 0.114008 -0.197390 0.073998 -0.018905 0.016381 0.996945
1305031453.927723 -0.100447 0.120047 -0.204307 0.072008 -0.037309 0.011296 0.996642
1305031453.959641 -0.109991 0.125418 -0.211987 0.069917 -0.053650 0.003003 0.996105
1305031453.991624 -0.116507 0.122764 -0.215161 0.066686 -0.066683 -0.007602 0.995514
1305031454.027662 -0.129559 0.122533 -0.224168 0.067564 -0.078311 -0.017867 0.994476
1305031454.059654 -0.140684 0.130261 -0.228372 0.069851 -0.089648 -0.030024 0.993067
1305031454.091651 -0.155489 0.128188 -0.229276 0.068641 -0.100355 -0.044263 0.991594
